# NEA PSCompPars snapshot, regenerated 2026-05-13 00:30 UTC
# Source: NASA Exoplanet Archive Composite Parameters (DOI: 10.26133/NEA13)
# Count: 6286 planets
# Columns: pl_name | hostname | st_teff | st_logg | st_met (tab-separated)
# Used by sco-ldc as a fallback when the live NEA fetch fails.
GJ 422 b	GJ 422	3323.0	4.85435	
GJ 4274 b	GJ 4274	3228.0	5.26	-0.19
GJ 4274 c	GJ 4274	3228.0	5.26	-0.19
GJ 4276 b	GJ 4276	3387.0	4.97	0.12
GJ 433 b	GJ 433	3461.0	4.81	-0.17
GJ 433 c	GJ 433	3461.0	4.81	-0.17
GJ 433 d	GJ 433	3461.0	4.81	-0.17
GJ 436 b	GJ 436	3586.11	4.792	0.0991
GJ 463 b	GJ 463	3563.0	4.86	-0.16
GJ 480 b	GJ 480	3509.0	4.88	0.26
GJ 486 b	GJ 486	3317.0	4.9111	-0.15
GJ 504 b	GJ 504	6234.0	4.6	0.28
GJ 508.2 b	GJ 508.2	3720.0	4.71218	-0.15
GJ 514 b	GJ 514	3728.0	4.76	-0.14
GJ 536 b	GJ 536	3641.0	4.713	-0.08
GJ 536 c	GJ 536	3641.0	4.713	-0.08
GJ 581 b	GJ 581	3500.0	4.97	-0.08
GJ 581 c	GJ 581	3500.0	4.97	-0.08
GJ 581 e	GJ 581	3500.0	4.97	-0.08
GJ 625 b	GJ 625	3499.0	4.94	-0.38
GJ 649 b	GJ 649	3734.0	4.76	-0.15
GJ 667 C b	GJ 667 C	3350.0	4.69	-0.55
GJ 667 C c	GJ 667 C	3350.0	4.69	-0.55
GJ 667 C e	GJ 667 C	3350.0	4.69	-0.55
GJ 667 C f	GJ 667 C	3350.0	4.69	-0.55
GJ 667 C g	GJ 667 C	3350.0	4.69	-0.55
GJ 674 b	GJ 674	3600.0	4.85978	-0.28
GJ 676 A b	GJ 676 A	3734.0	4.62	0.23
GJ 676 A c	GJ 676 A	3734.0	4.62	0.23
GJ 676 A d	GJ 676 A	3734.0	4.62	0.23
GJ 676 A e	GJ 676 A	3734.0	4.62	0.23
GJ 680 b	GJ 680	3563.0	4.77323	
GJ 682 b	GJ 682	3028.0	4.92764	
GJ 682 c	GJ 682	3028.0	4.92764	
GJ 685 b	GJ 685	3816.0	4.72	-0.15
GJ 687 b	GJ 687	3413.0	4.85936	0.0631
GJ 687 c	GJ 687	3413.0	4.85936	0.0631
GJ 720 A b	GJ 720 A	3837.0	4.71	-0.14
GJ 724 b	GJ 724	3799.0	4.88	-0.02
GJ 740 b	GJ 740	3913.0	4.68	0.08
GJ 806 b	GJ 806	3600.0	4.98	-0.28
GJ 806 c	GJ 806	3600.0	4.98	-0.28
GJ 832 b	GJ 832	3472.0	4.78905	-0.3
GJ 849 b	GJ 849	3467.0	4.8	0.09
GJ 849 c	GJ 849	3467.0	4.8	0.09
GJ 86 b	GJ 86	5182.0	4.63	-0.22
GJ 876 b	GJ 876	3293.74	4.87177	0.2129
GJ 876 c	GJ 876	3293.74	4.87177	0.2129
GJ 876 d	GJ 876	3293.74	4.87177	0.2129
GJ 876 e	GJ 876	3293.74	4.87177	0.2129
GJ 887 b	GJ 887	3688.0	4.156	-0.06
GJ 887 c	GJ 887	3688.0	4.156	-0.06
GJ 887 d	GJ 887	3688.0	4.156	-0.06
GJ 887 e	GJ 887	3688.0	4.156	-0.06
GJ 896 A b	GJ 896 A	3345.0	4.83156	
GJ 900 b	GJ 900 A	3976.0	4.55728	-0.63
GJ 9066 c	GJ 9066	3154.0	5.01	-0.13
GJ 9404 b	GJ 9404	3811.0	4.62936	
GJ 96 b	GJ 96	3785.0	4.66767	0.14
GJ 9689 b	GJ 9689	3836.0	4.69	0.05
GJ 9714 b	GJ 9714	4263.0	4.62156	
GJ 9773 b	GJ 9773	3528.0	4.84674	-0.2
GJ 9827 b	GJ 9827	4236.0	4.719	-0.29
GJ 9827 c	GJ 9827	4236.0	4.719	-0.29
GJ 9827 d	GJ 9827	4236.0	4.7	-0.29
GPX-1 b	GPX-1	7000.0	4.27	0.35
GQ Lup b	GQ Lup	4360.0	3.65	-0.35
GSC 06214-00210 b	GSC 06214-00210	4200.0	4.36628	-0.06
GU Psc b	GU Psc	4031.81	4.78111	0.1
Gaia-1 b	Gaia-1	5470.0	4.43994	
Gaia-2 b	Gaia-2	5720.0	4.37355	
Gaia-4 b	Gaia-4	4034.0	4.68	0.05
Gaia-5 b	Gaia-5	3447.0	4.83	-0.18
Gaia22dkvL b	Gaia22dkvL			
Gl 378 b	Gl 378	3879.0	4.68513	0.06
Gl 410 b	Gl 410	3842.0	4.87	0.05
Gl 49 b	Gl 49	3805.0	4.69	0.13
Gl 686 b	Gl 686	3656.0	4.87	-0.23
