 log g Teff  log Z Vel   g(CBBED)
 log g Teff  log Z Vel   h(CBBED)
 log g Teff  log Z Vel  xi(CBBED)
 1.00  5250. -0.3  2.0   0.0001
 1.50  5250. -0.3  2.0   0.6824
 1.50  5250. -0.3  2.0   0.6343
 1.50  5250. -0.3  2.0   0.0001
 2.00  5250. -0.3  2.0   0.6830
 2.00  5250. -0.3  2.0   0.6426
 2.00  5250. -0.3  2.0   0.0002
 2.50  5250. -0.3  2.0   0.6838
 2.50  5250. -0.3  2.0   0.6453
 2.50  5250. -0.3  2.0   0.0003
 3.00  5250. -0.3  2.0   0.6828
 3.00  5250. -0.3  2.0   0.6535
 3.00  5250. -0.3  2.0   0.0004
 3.50  5250. -0.3  2.0   0.6816
 3.50  5250. -0.3  2.0   0.6619
 3.50  5250. -0.3  2.0   0.0004
 4.00  5250. -0.3  2.0   0.6807
 4.00  5250. -0.3  2.0   0.6707
 4.00  5250. -0.3  2.0   0.0005
 4.50  5250. -0.3  2.0   0.6810
 4.50  5250. -0.3  2.0   0.6748
 4.50  5250. -0.3  2.0   0.0005
 5.00  5250. -0.3  2.0   0.6819
 5.00  5250. -0.3  2.0   0.6767
 5.00  5250. -0.3  2.0   0.0005
 0.00  5500. -0.3  2.0   0.6395
 0.00  5500. -0.3  2.0   0.7616
 0.00  5500. -0.3  2.0   0.0006
 0.50  5500. -0.3  2.0   0.6627
 0.50  5500. -0.3  2.0   0.6019
 0.50  5500. -0.3  2.0   0.0002
 1.00  5500. -0.3  2.0   0.6666
 1.00  5500. -0.3  2.0   0.5976
 1.00  5500. -0.3  2.0   0.0001
 1.50  5500. -0.3  2.0   0.6697
 1.50  5500. -0.3  2.0   0.5958
 1.50  5500. -0.3  2.0   0.0001
 2.00  5500. -0.3  2.0   0.6752
 2.00  5500. -0.3  2.0   0.5907
 2.00  5500. -0.3  2.0   0.0001
 2.50  5500. -0.3  2.0   0.6773
 2.50  5500. -0.3  2.0   0.5960
 2.50  5500. -0.3  2.0   0.0003
 3.00  5500. -0.3  2.0   0.6760
 3.00  5500. -0.3  2.0   0.6081
 3.00  5500. -0.3  2.0   0.0004
 3.50  5500. -0.3  2.0   0.6748
 3.50  5500. -0.3  2.0   0.6161
 3.50  5500. -0.3  2.0   0.0005
 4.00  5500. -0.3  2.0   0.6739
 4.00  5500. -0.3  2.0   0.6260
 4.00  5500. -0.3  2.0   0.0006
 4.50  5500. -0.3  2.0   0.6741
 4.50  5500. -0.3  2.0   0.6305
 4.50  5500. -0.3  2.0   0.0006
 5.00  5500. -0.3  2.0   0.6768
 5.00  5500. -0.3  2.0   0.6287
 5.00  5500. -0.3  2.0   0.0006
 0.00  5750. -0.3  2.0   0.6335
 0.00  5750. -0.3  2.0   0.7497
 0.00  5750. -0.3  2.0   0.0005
 0.50  5750. -0.3  2.0   0.6332
 0.50  5750. -0.3  2.0   0.7477
 0.50  5750. -0.3  2.0   0.0006
 1.00  5750. -0.3  2.0   0.6633
 1.00  5750. -0.3  2.0   0.5618
 1.00  5750. -0.3  2.0   0.0002
 1.50  5750. -0.3  2.0   0.6635
 1.50  5750. -0.3  2.0   0.5646
 1.50  5750. -0.3  2.0   0.0001
 2.00  5750. -0.3  2.0   0.6645
 2.00  5750. -0.3  2.0   0.5707
 2.00  5750. -0.3  2.0   0.0001
 2.50  5750. -0.3  2.0   0.6673
 2.50  5750. -0.3  2.0   0.5667
 2.50  5750. -0.3  2.0   0.0002
 3.00  5750. -0.3  2.0   0.6683
 3.00  5750. -0.3  2.0   0.5720
 3.00  5750. -0.3  2.0   0.0005
 3.50  5750. -0.3  2.0   0.6677
 3.50  5750. -0.3  2.0   0.5788
 3.50  5750. -0.3  2.0   0.0006
 4.00  5750. -0.3  2.0   0.6665
 4.00  5750. -0.3  2.0   0.5889
 4.00  5750. -0.3  2.0   0.0007
 4.50  5750. -0.3  2.0   0.6670
 4.50  5750. -0.3  2.0   0.5909
 4.50  5750. -0.3  2.0   0.0007
 5.00  5750. -0.3  2.0   0.6691
 5.00  5750. -0.3  2.0   0.5919
 5.00  5750. -0.3  2.0   0.0008
 0.00  6000. -0.3  2.0   0.6320
 0.00  6000. -0.3  2.0   0.7286
 0.00  6000. -0.3  2.0   0.0003
 0.50  6000. -0.3  2.0   0.6302
 0.50  6000. -0.3  2.0   0.7304
 0.50  6000. -0.3  2.0   0.0004
 1.00  6000. -0.3  2.0   0.6281
 1.00  6000. -0.3  2.0   0.7318
 1.00  6000. -0.3  2.0   0.0005
 1.50  6000. -0.3  2.0   0.6634
 1.50  6000. -0.3  2.0   0.5363
 1.50  6000. -0.3  2.0   0.0002
 2.00  6000. -0.3  2.0   0.6617
 2.00  6000. -0.3  2.0   0.5415
 2.00  6000. -0.3  2.0   0.0002
 2.50  6000. -0.3  2.0   0.6626
 2.50  6000. -0.3  2.0   0.5390
 2.50  6000. -0.3  2.0   0.0003
 3.00  6000. -0.3  2.0   0.6613
 3.00  6000. -0.3  2.0   0.5444
 3.00  6000. -0.3  2.0   0.0005
 3.50  6000. -0.3  2.0   0.6604
 3.50  6000. -0.3  2.0   0.5503
 3.50  6000. -0.3  2.0   0.0007
 4.00  6000. -0.3  2.0   0.6591
 4.00  6000. -0.3  2.0   0.5570
 4.00  6000. -0.3  2.0   0.0008
 4.50  6000. -0.3  2.0   0.6595
 4.50  6000. -0.3  2.0   0.5578
 4.50  6000. -0.3  2.0   0.0008
 5.00  6000. -0.3  2.0   0.6616
 5.00  6000. -0.3  2.0   0.5571
 5.00  6000. -0.3  2.0   0.0009
 0.50  6250. -0.3  2.0   0.6296
 0.50  6250. -0.3  2.0   0.7084
 0.50  6250. -0.3  2.0   0.0003
 1.00  6250. -0.3  2.0   0.6269
 1.00  6250. -0.3  2.0   0.7106
 1.00  6250. -0.3  2.0   0.0004
 1.50  6250. -0.3  2.0   0.6239
 1.50  6250. -0.3  2.0   0.7106
 1.50  6250. -0.3  2.0   0.0004
 2.00  6250. -0.3  2.0   0.6636
 2.00  6250. -0.3  2.0   0.5124
 2.00  6250. -0.3  2.0   0.0003
 2.50  6250. -0.3  2.0   0.6600
 2.50  6250. -0.3  2.0   0.5175
 2.50  6250. -0.3  2.0   0.0004
 3.00  6250. -0.3  2.0   0.6574
 3.00  6250. -0.3  2.0   0.5218
 3.00  6250. -0.3  2.0   0.0005
 3.50  6250. -0.3  2.0   0.6542
 3.50  6250. -0.3  2.0   0.5287
 3.50  6250. -0.3  2.0   0.0007
 4.00  6250. -0.3  2.0   0.6513
 4.00  6250. -0.3  2.0   0.5354
 4.00  6250. -0.3  2.0   0.0008
 4.50  6250. -0.3  2.0   0.6512
 4.50  6250. -0.3  2.0   0.5350
 4.50  6250. -0.3  2.0   0.0008
 5.00  6250. -0.3  2.0   0.6524
 5.00  6250. -0.3  2.0   0.5334
 5.00  6250. -0.3  2.0   0.0009
 0.50  6500. -0.3  2.0   0.6307
 0.50  6500. -0.3  2.0   0.6858
 0.50  6500. -0.3  2.0   0.0002
 1.00  6500. -0.3  2.0   0.6271
 1.00  6500. -0.3  2.0   0.6870
 1.00  6500. -0.3  2.0   0.0003
 1.50  6500. -0.3  2.0   0.6230
 1.50  6500. -0.3  2.0   0.6902
 1.50  6500. -0.3  2.0   0.0004
 2.00  6500. -0.3  2.0   0.6182
 2.00  6500. -0.3  2.0   0.6933
 2.00  6500. -0.3  2.0   0.0004
 2.50  6500. -0.3  2.0   0.6615
 2.50  6500. -0.3  2.0   0.4936
 2.50  6500. -0.3  2.0   0.0006
 3.00  6500. -0.3  2.0   0.6562
 3.00  6500. -0.3  2.0   0.5011
 3.00  6500. -0.3  2.0   0.0006
 3.50  6500. -0.3  2.0   0.6512
 3.50  6500. -0.3  2.0   0.5089
 3.50  6500. -0.3  2.0   0.0007
 4.00  6500. -0.3  2.0   0.6466
 4.00  6500. -0.3  2.0   0.5156
 4.00  6500. -0.3  2.0   0.0008
 4.50  6500. -0.3  2.0   0.6451
 4.50  6500. -0.3  2.0   0.5157
 4.50  6500. -0.3  2.0   0.0009
 5.00  6500. -0.3  2.0   0.6444
 5.00  6500. -0.3  2.0   0.5158
 5.00  6500. -0.3  2.0   0.0010
 0.50  6750. -0.3  2.0   0.6363
 0.50  6750. -0.3  2.0   0.6577
 0.50  6750. -0.3  2.0   0.0001
 1.00  6750. -0.3  2.0   0.6286
 1.00  6750. -0.3  2.0   0.6617
 1.00  6750. -0.3  2.0   0.0002
 1.50  6750. -0.3  2.0   0.6241
 1.50  6750. -0.3  2.0   0.6644
 1.50  6750. -0.3  2.0   0.0003
 2.00  6750. -0.3  2.0   0.6187
 2.00  6750. -0.3  2.0   0.6684
 2.00  6750. -0.3  2.0   0.0004
 2.50  6750. -0.3  2.0   0.6126
 2.50  6750. -0.3  2.0   0.6723
 2.50  6750. -0.3  2.0   0.0004
 3.00  6750. -0.3  2.0   0.6567
 3.00  6750. -0.3  2.0   0.4818
 3.00  6750. -0.3  2.0   0.0008
 3.50  6750. -0.3  2.0   0.6508
 3.50  6750. -0.3  2.0   0.4879
 3.50  6750. -0.3  2.0   0.0008
 4.00  6750. -0.3  2.0   0.6449
 4.00  6750. -0.3  2.0   0.4962
 4.00  6750. -0.3  2.0   0.0009
 4.50  6750. -0.3  2.0   0.6410
 4.50  6750. -0.3  2.0   0.4993
 4.50  6750. -0.3  2.0   0.0010
 5.00  6750. -0.3  2.0   0.6378
 5.00  6750. -0.3  2.0   0.5021
 5.00  6750. -0.3  2.0   0.0010
 0.50  7000. -0.3  2.0   0.6439
 0.50  7000. -0.3  2.0   0.6283
 0.50  7000. -0.3  2.0   0.0001
 1.00  7000. -0.3  2.0   0.6340
 1.00  7000. -0.3  2.0   0.6307
 1.00  7000. -0.3  2.0   0.0001
 1.50  7000. -0.3  2.0   0.6281
 1.50  7000. -0.3  2.0   0.6294
 1.50  7000. -0.3  2.0   0.0002
 2.00  7000. -0.3  2.0   0.6193
 2.00  7000. -0.3  2.0   0.6426
 2.00  7000. -0.3  2.0   0.0003
 2.50  7000. -0.3  2.0   0.6133
 2.50  7000. -0.3  2.0   0.6468
 2.50  7000. -0.3  2.0   0.0004
 3.00  7000. -0.3  2.0   0.6063
 3.00  7000. -0.3  2.0   0.6528
 3.00  7000. -0.3  2.0   0.0005
 3.50  7000. -0.3  2.0   0.6511
 3.50  7000. -0.3  2.0   0.4710
 3.50  7000. -0.3  2.0   0.0010
 4.00  7000. -0.3  2.0   0.6446
 4.00  7000. -0.3  2.0   0.4779
 4.00  7000. -0.3  2.0   0.0010
 4.50  7000. -0.3  2.0   0.6390
 4.50  7000. -0.3  2.0   0.4832
 4.50  7000. -0.3  2.0   0.0011
 5.00  7000. -0.3  2.0   0.6342
 5.00  7000. -0.3  2.0   0.4888
 5.00  7000. -0.3  2.0   0.0011
 0.50  7250. -0.3  2.0   0.6509
 0.50  7250. -0.3  2.0   0.6011
 0.50  7250. -0.3  2.0   0.0002
 1.00  7250. -0.3  2.0   0.6409
 1.00  7250. -0.3  2.0   0.5964
 1.00  7250. -0.3  2.0   0.0001
 1.50  7250. -0.3  2.0   0.6301
 1.50  7250. -0.3  2.0   0.6034
 1.50  7250. -0.3  2.0   0.0002
 2.00  7250. -0.3  2.0   0.6204
 2.00  7250. -0.3  2.0   0.6136
 2.00  7250. -0.3  2.0   0.0002
 2.50  7250. -0.3  2.0   0.6143
 2.50  7250. -0.3  2.0   0.6194
 2.50  7250. -0.3  2.0   0.0004
 3.00  7250. -0.3  2.0   0.6076
 3.00  7250. -0.3  2.0   0.6251
 3.00  7250. -0.3  2.0   0.0005
 3.50  7250. -0.3  2.0   0.6007
 3.50  7250. -0.3  2.0   0.6300
 3.50  7250. -0.3  2.0   0.0006
 4.00  7250. -0.3  2.0   0.6448
 4.00  7250. -0.3  2.0   0.4605
 4.00  7250. -0.3  2.0   0.0011
 4.50  7250. -0.3  2.0   0.6387
 4.50  7250. -0.3  2.0   0.4656
 4.50  7250. -0.3  2.0   0.0012
 5.00  7250. -0.3  2.0   0.6327
 5.00  7250. -0.3  2.0   0.4732
 5.00  7250. -0.3  2.0   0.0012
 0.50  7500. -0.3  2.0   0.6543
 0.50  7500. -0.3  2.0   0.5836
 0.50  7500. -0.3  2.0   0.0002
 1.00  7500. -0.3  2.0   0.6458
 1.00  7500. -0.3  2.0   0.5669
 1.00  7500. -0.3  2.0   0.0001
 1.50  7500. -0.3  2.0   0.6352
 1.50  7500. -0.3  2.0   0.5680
 1.50  7500. -0.3  2.0   0.0001
 2.00  7500. -0.3  2.0   0.6241
 2.00  7500. -0.3  2.0   0.5774
 2.00  7500. -0.3  2.0   0.0002
 2.50  7500. -0.3  2.0   0.6144
 2.50  7500. -0.3  2.0   0.5883
 2.50  7500. -0.3  2.0   0.0002
 3.00  7500. -0.3  2.0   0.6080
 3.00  7500. -0.3  2.0   0.5968
 3.00  7500. -0.3  2.0   0.0005
 3.50  7500. -0.3  2.0   0.6013
 3.50  7500. -0.3  2.0   0.6040
 3.50  7500. -0.3  2.0   0.0006
 4.00  7500. -0.3  2.0   0.6418
 4.00  7500. -0.3  2.0   0.4559
 4.00  7500. -0.3  2.0   0.0013
 4.50  7500. -0.3  2.0   0.6392
 4.50  7500. -0.3  2.0   0.4492
 4.50  7500. -0.3  2.0   0.0013
 5.00  7500. -0.3  2.0   0.6324
 5.00  7500. -0.3  2.0   0.4559
 5.00  7500. -0.3  2.0   0.0014
 1.00  7750. -0.3  2.0   0.6472
 1.00  7750. -0.3  2.0   0.5476
 1.00  7750. -0.3  2.0   0.0001
 1.50  7750. -0.3  2.0   0.6371
 1.50  7750. -0.3  2.0   0.5399
 1.50  7750. -0.3  2.0   0.0001
 2.00  7750. -0.3  2.0   0.6260
 2.00  7750. -0.3  2.0   0.5447
 2.00  7750. -0.3  2.0   0.0001
 2.50  7750. -0.3  2.0   0.6152
 2.50  7750. -0.3  2.0   0.5559
 2.50  7750. -0.3  2.0   0.0002
 3.00  7750. -0.3  2.0   0.6063
 3.00  7750. -0.3  2.0   0.5676
 3.00  7750. -0.3  2.0   0.0003
 3.50  7750. -0.3  2.0   0.6005
 3.50  7750. -0.3  2.0   0.5774
 3.50  7750. -0.3  2.0   0.0005
 4.00  7750. -0.3  2.0   0.5941
 4.00  7750. -0.3  2.0   0.5837
 4.00  7750. -0.3  2.0   0.0007
 4.50  7750. -0.3  2.0   0.6372
 4.50  7750. -0.3  2.0   0.4401
 4.50  7750. -0.3  2.0   0.0014
 5.00  7750. -0.3  2.0   0.6319
 5.00  7750. -0.3  2.0   0.4418
 5.00  7750. -0.3  2.0   0.0015
 1.00  8000. -0.3  2.0   0.6460
 1.00  8000. -0.3  2.0   0.5387
 1.00  8000. -0.3  2.0   0.0001
 1.50  8000. -0.3  2.0   0.6355
 1.50  8000. -0.3  2.0   0.5220
 1.50  8000. -0.3  2.0   0.0001
 2.00  8000. -0.3  2.0   0.6240
 2.00  8000. -0.3  2.0   0.5210
 2.00  8000. -0.3  2.0   0.0001
 2.50  8000. -0.3  2.0   0.6133
 2.50  8000. -0.3  2.0   0.5282
 2.50  8000. -0.3  2.0   0.0001
 3.00  8000. -0.3  2.0   0.6035
 3.00  8000. -0.3  2.0   0.5393
 3.00  8000. -0.3  2.0   0.0001
 3.50  8000. -0.3  2.0   0.5964
 3.50  8000. -0.3  2.0   0.5499
 3.50  8000. -0.3  2.0   0.0003
 4.00  8000. -0.3  2.0   0.5928
 4.00  8000. -0.3  2.0   0.5579
 4.00  8000. -0.3  2.0   0.0006
 4.50  8000. -0.3  2.0   0.5877
 4.50  8000. -0.3  2.0   0.5631
 4.50  8000. -0.3  2.0   0.0009
 5.00  8000. -0.3  2.0   0.6308
 5.00  8000. -0.3  2.0   0.4291
 5.00  8000. -0.3  2.0   0.0017
 1.00  8250. -0.3  2.0   0.6440
 1.00  8250. -0.3  2.0   0.5358
 1.00  8250. -0.3  2.0   0.0001
 1.50  8250. -0.3  2.0   0.6336
 1.50  8250. -0.3  2.0   0.5110
 1.50  8250. -0.3  2.0   0.0001
 2.00  8250. -0.3  2.0   0.6198
 2.00  8250. -0.3  2.0   0.5058
 2.00  8250. -0.3  2.0   0.0000
 2.50  8250. -0.3  2.0   0.6077
 2.50  8250. -0.3  2.0   0.5092
 2.50  8250. -0.3  2.0   0.0001
 3.00  8250. -0.3  2.0   0.5980
 3.00  8250. -0.3  2.0   0.5164
 3.00  8250. -0.3  2.0   0.0001
 3.50  8250. -0.3  2.0   0.5901
 3.50  8250. -0.3  2.0   0.5260
 3.50  8250. -0.3  2.0   0.0001
 4.00  8250. -0.3  2.0   0.5858
 4.00  8250. -0.3  2.0   0.5352
 4.00  8250. -0.3  2.0   0.0003
 4.50  8250. -0.3  2.0   0.5850
 4.50  8250. -0.3  2.0   0.5402
 4.50  8250. -0.3  2.0   0.0007
 5.00  8250. -0.3  2.0   0.5799
 5.00  8250. -0.3  2.0   0.5447
 5.00  8250. -0.3  2.0   0.0009
 1.00  8500. -0.3  2.0   0.6407
 1.00  8500. -0.3  2.0   0.5433
 1.00  8500. -0.3  2.0   0.0000
 1.50  8500. -0.3  2.0   0.6331
 1.50  8500. -0.3  2.0   0.5030
 1.50  8500. -0.3  2.0   0.0000
 2.00  8500. -0.3  2.0   0.6173
 2.00  8500. -0.3  2.0   0.4934
 2.00  8500. -0.3  2.0   0.0000
 2.50  8500. -0.3  2.0   0.6026
 2.50  8500. -0.3  2.0   0.4946
 2.50  8500. -0.3  2.0   0.0000
 3.00  8500. -0.3  2.0   0.5912
 3.00  8500. -0.3  2.0   0.5003
 3.00  8500. -0.3  2.0   0.0001
 3.50  8500. -0.3  2.0   0.5824
 3.50  8500. -0.3  2.0   0.5083
 3.50  8500. -0.3  2.0   0.0001
 4.00  8500. -0.3  2.0   0.5762
 4.00  8500. -0.3  2.0   0.5160
 4.00  8500. -0.3  2.0   0.0002
 4.50  8500. -0.3  2.0   0.5759
 4.50  8500. -0.3  2.0   0.5213
 4.50  8500. -0.3  2.0   0.0004
 5.00  8500. -0.3  2.0   0.5761
 5.00  8500. -0.3  2.0   0.5244
 5.00  8500. -0.3  2.0   0.0008
 1.50  8750. -0.3  2.0   0.6329
 1.50  8750. -0.3  2.0   0.4983
 1.50  8750. -0.3  2.0   0.0000
 2.00  8750. -0.3  2.0   0.6160
 2.00  8750. -0.3  2.0   0.4845
 2.00  8750. -0.3  2.0   0.0000
 2.50  8750. -0.3  2.0   0.5992
 2.50  8750. -0.3  2.0   0.4837
 2.50  8750. -0.3  2.0   0.0000
 3.00  8750. -0.3  2.0   0.5860
 3.00  8750. -0.3  2.0   0.4875
 3.00  8750. -0.3  2.0   0.0001
 3.50  8750. -0.3  2.0   0.5759
 3.50  8750. -0.3  2.0   0.4936
 3.50  8750. -0.3  2.0   0.0001
 4.00  8750. -0.3  2.0   0.5682
 4.00  8750. -0.3  2.0   0.5005
 4.00  8750. -0.3  2.0   0.0001
 4.50  8750. -0.3  2.0   0.5640
 4.50  8750. -0.3  2.0   0.5058
 4.50  8750. -0.3  2.0   0.0002
 5.00  8750. -0.3  2.0   0.5680
 5.00  8750. -0.3  2.0   0.5076
 5.00  8750. -0.3  2.0   0.0005
 1.50  9000. -0.3  2.0   0.6342
 1.50  9000. -0.3  2.0   0.4931
 1.50  9000. -0.3  2.0   0.0001
 2.00  9000. -0.3  2.0   0.6156
 2.00  9000. -0.3  2.0   0.4767
 2.00  9000. -0.3  2.0   0.0000
 2.50  9000. -0.3  2.0   0.5971
 2.50  9000. -0.3  2.0   0.4744
 2.50  9000. -0.3  2.0   0.0000
 3.00  9000. -0.3  2.0   0.5819
 3.00  9000. -0.3  2.0   0.4777
 3.00  9000. -0.3  2.0   0.0000
 3.50  9000. -0.3  2.0   0.5706
 3.50  9000. -0.3  2.0   0.4824
 3.50  9000. -0.3  2.0   0.0001
 4.00  9000. -0.3  2.0   0.5619
 4.00  9000. -0.3  2.0   0.4880
 4.00  9000. -0.3  2.0   0.0001
 4.50  9000. -0.3  2.0   0.5552
 4.50  9000. -0.3  2.0   0.4937
 4.50  9000. -0.3  2.0   0.0001
 5.00  9000. -0.3  2.0   0.5494
 5.00  9000. -0.3  2.0   0.5007
 5.00  9000. -0.3  2.0   0.0001
 2.00  9250. -0.3  2.0   0.6164
 2.00  9250. -0.3  2.0   0.4681
 2.00  9250. -0.3  2.0   0.0000
 2.50  9250. -0.3  2.0   0.5952
 2.50  9250. -0.3  2.0   0.4667
 2.50  9250. -0.3  2.0   0.0000
 3.00  9250. -0.3  2.0   0.5787
 3.00  9250. -0.3  2.0   0.4691
 3.00  9250. -0.3  2.0   0.0000
 3.50  9250. -0.3  2.0   0.5665
 3.50  9250. -0.3  2.0   0.4732
 3.50  9250. -0.3  2.0   0.0000
 4.00  9250. -0.3  2.0   0.5574
 4.00  9250. -0.3  2.0   0.4773
 4.00  9250. -0.3  2.0   0.0001
 4.50  9250. -0.3  2.0   0.5497
 4.50  9250. -0.3  2.0   0.4819
 4.50  9250. -0.3  2.0   0.0001
 5.00  9250. -0.3  2.0   0.5431
 5.00  9250. -0.3  2.0   0.4869
 5.00  9250. -0.3  2.0   0.0001
 2.00  9500. -0.3  2.0   0.6175
 2.00  9500. -0.3  2.0   0.4601
 2.00  9500. -0.3  2.0   0.0000
 2.50  9500. -0.3  2.0   0.5947
 2.50  9500. -0.3  2.0   0.4577
 2.50  9500. -0.3  2.0   0.0000
 3.00  9500. -0.3  2.0   0.5761
 3.00  9500. -0.3  2.0   0.4611
 3.00  9500. -0.3  2.0   0.0000
 3.50  9500. -0.3  2.0   0.5625
 3.50  9500. -0.3  2.0   0.4658
 3.50  9500. -0.3  2.0   0.0000
 4.00  9500. -0.3  2.0   0.5530
 4.00  9500. -0.3  2.0   0.4692
 4.00  9500. -0.3  2.0   0.0000
 4.50  9500. -0.3  2.0   0.5452
 4.50  9500. -0.3  2.0   0.4723
 4.50  9500. -0.3  2.0   0.0001
 5.00  9500. -0.3  2.0   0.5382
 5.00  9500. -0.3  2.0   0.4756
 5.00  9500. -0.3  2.0   0.0001
 2.00  9750. -0.3  2.0   0.6186
 2.00  9750. -0.3  2.0   0.4518
 2.00  9750. -0.3  2.0   0.0000
 2.50  9750. -0.3  2.0   0.5938
 2.50  9750. -0.3  2.0   0.4500
 2.50  9750. -0.3  2.0   0.0000
 3.00  9750. -0.3  2.0   0.5735
 3.00  9750. -0.3  2.0   0.4542
 3.00  9750. -0.3  2.0   0.0000
 3.50  9750. -0.3  2.0   0.5593
 3.50  9750. -0.3  2.0   0.4579
 3.50  9750. -0.3  2.0   0.0000
 4.00  9750. -0.3  2.0   0.5493
 4.00  9750. -0.3  2.0   0.4610
 4.00  9750. -0.3  2.0   0.0000
 4.50  9750. -0.3  2.0   0.5414
 4.50  9750. -0.3  2.0   0.4638
 4.50  9750. -0.3  2.0   0.0001
 5.00  9750. -0.3  2.0   0.5346
 5.00  9750. -0.3  2.0   0.4655
 5.00  9750. -0.3  2.0   0.0001
 2.00 10000. -0.3  2.0   0.6198
 2.00 10000. -0.3  2.0   0.4434
 2.00 10000. -0.3  2.0   0.0000
 2.50 10000. -0.3  2.0   0.5934
 2.50 10000. -0.3  2.0   0.4414
 2.50 10000. -0.3  2.0   0.0000
 3.00 10000. -0.3  2.0   0.5712
 3.00 10000. -0.3  2.0   0.4471
 3.00 10000. -0.3  2.0   0.0000
 3.50 10000. -0.3  2.0   0.5556
 3.50 10000. -0.3  2.0   0.4520
 3.50 10000. -0.3  2.0   0.0000
 4.00 10000. -0.3  2.0   0.5452
 4.00 10000. -0.3  2.0   0.4552
 4.00 10000. -0.3  2.0   0.0000
 4.50 10000. -0.3  2.0   0.5380
 4.50 10000. -0.3  2.0   0.4561
 4.50 10000. -0.3  2.0   0.0000
 5.00 10000. -0.3  2.0   0.5316
 5.00 10000. -0.3  2.0   0.4565
 5.00 10000. -0.3  2.0   0.0001
 2.00 10500. -0.3  2.0   0.6209
 2.00 10500. -0.3  2.0   0.4287
 2.00 10500. -0.3  2.0   0.0000
 2.50 10500. -0.3  2.0   0.5912
 2.50 10500. -0.3  2.0   0.4259
 2.50 10500. -0.3  2.0   0.0000
 3.00 10500. -0.3  2.0   0.5662
 3.00 10500. -0.3  2.0   0.4330
 3.00 10500. -0.3  2.0   0.0000
 3.50 10500. -0.3  2.0   0.5483
 3.50 10500. -0.3  2.0   0.4407
 3.50 10500. -0.3  2.0   0.0000
 4.00 10500. -0.3  2.0   0.5368
 4.00 10500. -0.3  2.0   0.4452
 4.00 10500. -0.3  2.0   0.0000
 4.50 10500. -0.3  2.0   0.5294
 4.50 10500. -0.3  2.0   0.4463
 4.50 10500. -0.3  2.0   0.0000
 5.00 10500. -0.3  2.0   0.5239
 5.00 10500. -0.3  2.0   0.4452
 5.00 10500. -0.3  2.0   0.0000
 2.50 11000. -0.3  2.0   0.5883
 2.50 11000. -0.3  2.0   0.4121
 2.50 11000. -0.3  2.0   0.0000
 3.00 11000. -0.3  2.0   0.5602
 3.00 11000. -0.3  2.0   0.4201
 3.00 11000. -0.3  2.0   0.0000
 3.50 11000. -0.3  2.0   0.5401
 3.50 11000. -0.3  2.0   0.4300
 3.50 11000. -0.3  2.0   0.0000
 4.00 11000. -0.3  2.0   0.5271
 4.00 11000. -0.3  2.0   0.4370
 4.00 11000. -0.3  2.0   0.0000
 4.50 11000. -0.3  2.0   0.5194
 4.50 11000. -0.3  2.0   0.4396
 4.50 11000. -0.3  2.0   0.0000
 5.00 11000. -0.3  2.0   0.5148
 5.00 11000. -0.3  2.0   0.4375
 5.00 11000. -0.3  2.0   0.0000
 2.50 11500. -0.3  2.0   0.5856
 2.50 11500. -0.3  2.0   0.4005
 2.50 11500. -0.3  2.0   0.0000
 3.00 11500. -0.3  2.0   0.5535
 3.00 11500. -0.3  2.0   0.4093
 3.00 11500. -0.3  2.0   0.0000
 3.50 11500. -0.3  2.0   0.5314
 3.50 11500. -0.3  2.0   0.4204
 3.50 11500. -0.3  2.0   0.0000
 4.00 11500. -0.3  2.0   0.5172
 4.00 11500. -0.3  2.0   0.4296
 4.00 11500. -0.3  2.0   0.0000
 4.50 11500. -0.3  2.0   0.5088
 4.50 11500. -0.3  2.0   0.4342
 4.50 11500. -0.3  2.0   0.0000
 5.00 11500. -0.3  2.0   0.5041
 5.00 11500. -0.3  2.0   0.4332
 5.00 11500. -0.3  2.0   0.0000
 2.50 12000. -0.3  2.0   0.5841
 2.50 12000. -0.3  2.0   0.3908
 2.50 12000. -0.3  2.0   0.0000
 3.00 12000. -0.3  2.0   0.5474
 3.00 12000. -0.3  2.0   0.3997
 3.00 12000. -0.3  2.0   0.0000
 3.50 12000. -0.3  2.0   0.5228
 3.50 12000. -0.3  2.0   0.4118
 3.50 12000. -0.3  2.0   0.0000
 4.00 12000. -0.3  2.0   0.5077
 4.00 12000. -0.3  2.0   0.4220
 4.00 12000. -0.3  2.0   0.0000
 4.50 12000. -0.3  2.0   0.4988
 4.50 12000. -0.3  2.0   0.4284
 4.50 12000. -0.3  2.0   0.0000
 5.00 12000. -0.3  2.0   0.4939
 5.00 12000. -0.3  2.0   0.4293
 5.00 12000. -0.3  2.0   0.0000
 2.50 12500. -0.3  2.0   0.5838
 2.50 12500. -0.3  2.0   0.3829
 2.50 12500. -0.3  2.0   0.0001
 3.00 12500. -0.3  2.0   0.5426
 3.00 12500. -0.3  2.0   0.3914
 3.00 12500. -0.3  2.0   0.0001
 3.50 12500. -0.3  2.0   0.5143
 3.50 12500. -0.3  2.0   0.4049
 3.50 12500. -0.3  2.0   0.0000
 4.00 12500. -0.3  2.0   0.4980
 4.00 12500. -0.3  2.0   0.4157
 4.00 12500. -0.3  2.0   0.0000
 4.50 12500. -0.3  2.0   0.4890
 4.50 12500. -0.3  2.0   0.4230
