 log g Teff  log Z Vel   g(CBBED)
 log g Teff  log Z Vel   h(CBBED)
 log g Teff  log Z Vel  xi(CBBED)
 2.50  5500. -5.0  2.0   0.6480
 2.50  5500. -5.0  2.0   0.5578
 2.50  5500. -5.0  2.0   0.0021
 3.00  5500. -5.0  2.0   0.6548
 3.00  5500. -5.0  2.0   0.5372
 3.00  5500. -5.0  2.0   0.0028
 3.50  5500. -5.0  2.0   0.6611
 3.50  5500. -5.0  2.0   0.5195
 3.50  5500. -5.0  2.0   0.0033
 4.00  5500. -5.0  2.0   0.6682
 4.00  5500. -5.0  2.0   0.4955
 4.00  5500. -5.0  2.0   0.0033
 4.50  5500. -5.0  2.0   0.6783
 4.50  5500. -5.0  2.0   0.4632
 4.50  5500. -5.0  2.0   0.0029
 5.00  5500. -5.0  2.0   0.6973
 5.00  5500. -5.0  2.0   0.4188
 5.00  5500. -5.0  2.0   0.0027
 0.00  5750. -5.0  2.0   0.6087
 0.00  5750. -5.0  2.0   0.8023
 0.00  5750. -5.0  2.0   0.0001
 0.50  5750. -5.0  2.0   0.6322
 0.50  5750. -5.0  2.0   0.6123
 0.50  5750. -5.0  2.0   0.0007
 1.00  5750. -5.0  2.0   0.6298
 1.00  5750. -5.0  2.0   0.5992
 1.00  5750. -5.0  2.0   0.0007
 1.50  5750. -5.0  2.0   0.6306
 1.50  5750. -5.0  2.0   0.5917
 1.50  5750. -5.0  2.0   0.0010
 2.00  5750. -5.0  2.0   0.6341
 2.00  5750. -5.0  2.0   0.5783
 2.00  5750. -5.0  2.0   0.0014
 2.50  5750. -5.0  2.0   0.6384
 2.50  5750. -5.0  2.0   0.5631
 2.50  5750. -5.0  2.0   0.0020
 3.00  5750. -5.0  2.0   0.6427
 3.00  5750. -5.0  2.0   0.5489
 3.00  5750. -5.0  2.0   0.0026
 3.50  5750. -5.0  2.0   0.6475
 3.50  5750. -5.0  2.0   0.5328
 3.50  5750. -5.0  2.0   0.0032
 4.00  5750. -5.0  2.0   0.6522
 4.00  5750. -5.0  2.0   0.5169
 4.00  5750. -5.0  2.0   0.0035
 4.50  5750. -5.0  2.0   0.6602
 4.50  5750. -5.0  2.0   0.4904
 4.50  5750. -5.0  2.0   0.0034
 5.00  5750. -5.0  2.0   0.6729
 5.00  5750. -5.0  2.0   0.4552
 5.00  5750. -5.0  2.0   0.0033
 0.00  6000. -5.0  2.0   0.6114
 0.00  6000. -5.0  2.0   0.7805
 0.00  6000. -5.0  2.0   0.0001
 0.50  6000. -5.0  2.0   0.6024
 0.50  6000. -5.0  2.0   0.7918
 0.50  6000. -5.0  2.0   0.0001
 1.00  6000. -5.0  2.0   0.6209
 1.00  6000. -5.0  2.0   0.6178
 1.00  6000. -5.0  2.0   0.0004
 1.50  6000. -5.0  2.0   0.6288
 1.50  6000. -5.0  2.0   0.5761
 1.50  6000. -5.0  2.0   0.0011
 2.00  6000. -5.0  2.0   0.6293
 2.00  6000. -5.0  2.0   0.5701
 2.00  6000. -5.0  2.0   0.0015
 2.50  6000. -5.0  2.0   0.6303
 2.50  6000. -5.0  2.0   0.5633
 2.50  6000. -5.0  2.0   0.0019
 3.00  6000. -5.0  2.0   0.6322
 3.00  6000. -5.0  2.0   0.5542
 3.00  6000. -5.0  2.0   0.0025
 3.50  6000. -5.0  2.0   0.6358
 3.50  6000. -5.0  2.0   0.5418
 3.50  6000. -5.0  2.0   0.0032
 4.00  6000. -5.0  2.0   0.6378
 4.00  6000. -5.0  2.0   0.5341
 4.00  6000. -5.0  2.0   0.0036
 4.50  6000. -5.0  2.0   0.6425
 4.50  6000. -5.0  2.0   0.5155
 4.50  6000. -5.0  2.0   0.0035
 5.00  6000. -5.0  2.0   0.6523
 5.00  6000. -5.0  2.0   0.4854
 5.00  6000. -5.0  2.0   0.0036
 0.50  6250. -5.0  2.0   0.6058
 0.50  6250. -5.0  2.0   0.7663
 0.50  6250. -5.0  2.0   0.0002
 1.00  6250. -5.0  2.0   0.5963
 1.00  6250. -5.0  2.0   0.7789
 1.00  6250. -5.0  2.0   0.0001
 1.50  6250. -5.0  2.0   0.6195
 1.50  6250. -5.0  2.0   0.5907
 1.50  6250. -5.0  2.0   0.0008
 2.00  6250. -5.0  2.0   0.6251
 2.00  6250. -5.0  2.0   0.5608
 2.00  6250. -5.0  2.0   0.0016
 2.50  6250. -5.0  2.0   0.6240
 2.50  6250. -5.0  2.0   0.5590
 2.50  6250. -5.0  2.0   0.0020
 3.00  6250. -5.0  2.0   0.6240
 3.00  6250. -5.0  2.0   0.5549
 3.00  6250. -5.0  2.0   0.0025
 3.50  6250. -5.0  2.0   0.6251
 3.50  6250. -5.0  2.0   0.5487
 3.50  6250. -5.0  2.0   0.0031
 4.00  6250. -5.0  2.0   0.6273
 4.00  6250. -5.0  2.0   0.5399
 4.00  6250. -5.0  2.0   0.0035
 4.50  6250. -5.0  2.0   0.6321
 4.50  6250. -5.0  2.0   0.5222
 4.50  6250. -5.0  2.0   0.0037
 5.00  6250. -5.0  2.0   0.6358
 5.00  6250. -5.0  2.0   0.5077
 5.00  6250. -5.0  2.0   0.0037
 0.50  6500. -5.0  2.0   0.6119
 0.50  6500. -5.0  2.0   0.7354
 0.50  6500. -5.0  2.0   0.0002
 1.00  6500. -5.0  2.0   0.5998
 1.00  6500. -5.0  2.0   0.7497
 1.00  6500. -5.0  2.0   0.0003
 1.50  6500. -5.0  2.0   0.5895
 1.50  6500. -5.0  2.0   0.7627
 1.50  6500. -5.0  2.0   0.0003
 2.00  6500. -5.0  2.0   0.6165
 2.00  6500. -5.0  2.0   0.5653
 2.00  6500. -5.0  2.0   0.0013
 2.50  6500. -5.0  2.0   0.6206
 2.50  6500. -5.0  2.0   0.5429
 2.50  6500. -5.0  2.0   0.0022
 3.00  6500. -5.0  2.0   0.6174
 3.00  6500. -5.0  2.0   0.5478
 3.00  6500. -5.0  2.0   0.0026
 3.50  6500. -5.0  2.0   0.6170
 3.50  6500. -5.0  2.0   0.5472
 3.50  6500. -5.0  2.0   0.0031
 4.00  6500. -5.0  2.0   0.6176
 4.00  6500. -5.0  2.0   0.5433
 4.00  6500. -5.0  2.0   0.0035
 4.50  6500. -5.0  2.0   0.6196
 4.50  6500. -5.0  2.0   0.5348
 4.50  6500. -5.0  2.0   0.0037
 5.00  6500. -5.0  2.0   0.6243
 5.00  6500. -5.0  2.0   0.5173
 5.00  6500. -5.0  2.0   0.0037
 0.50  6750. -5.0  2.0   0.6224
 0.50  6750. -5.0  2.0   0.6970
 0.50  6750. -5.0  2.0   0.0002
 1.00  6750. -5.0  2.0   0.6057
 1.00  6750. -5.0  2.0   0.7144
 1.00  6750. -5.0  2.0   0.0003
 1.50  6750. -5.0  2.0   0.5928
 1.50  6750. -5.0  2.0   0.7306
 1.50  6750. -5.0  2.0   0.0004
 2.00  6750. -5.0  2.0   0.5813
 2.00  6750. -5.0  2.0   0.7470
 2.00  6750. -5.0  2.0   0.0005
 2.50  6750. -5.0  2.0   0.6127
 2.50  6750. -5.0  2.0   0.5437
 2.50  6750. -5.0  2.0   0.0019
 3.00  6750. -5.0  2.0   0.6149
 3.00  6750. -5.0  2.0   0.5322
 3.00  6750. -5.0  2.0   0.0029
 3.50  6750. -5.0  2.0   0.6118
 3.50  6750. -5.0  2.0   0.5384
 3.50  6750. -5.0  2.0   0.0032
 4.00  6750. -5.0  2.0   0.6109
 4.00  6750. -5.0  2.0   0.5392
 4.00  6750. -5.0  2.0   0.0035
 4.50  6750. -5.0  2.0   0.6111
 4.50  6750. -5.0  2.0   0.5367
 4.50  6750. -5.0  2.0   0.0036
 5.00  6750. -5.0  2.0   0.6136
 5.00  6750. -5.0  2.0   0.5264
 5.00  6750. -5.0  2.0   0.0038
 0.50  7000. -5.0  2.0   0.6358
 0.50  7000. -5.0  2.0   0.6534
 0.50  7000. -5.0  2.0   0.0004
 1.00  7000. -5.0  2.0   0.6153
 1.00  7000. -5.0  2.0   0.6718
 1.00  7000. -5.0  2.0   0.0003
 1.50  7000. -5.0  2.0   0.5976
 1.50  7000. -5.0  2.0   0.6936
 1.50  7000. -5.0  2.0   0.0004
 2.00  7000. -5.0  2.0   0.5846
 2.00  7000. -5.0  2.0   0.7125
 2.00  7000. -5.0  2.0   0.0006
 2.50  7000. -5.0  2.0   0.5737
 2.50  7000. -5.0  2.0   0.7295
 2.50  7000. -5.0  2.0   0.0008
 3.00  7000. -5.0  2.0   0.6092
 3.00  7000. -5.0  2.0   0.5273
 3.00  7000. -5.0  2.0   0.0025
 3.50  7000. -5.0  2.0   0.6092
 3.50  7000. -5.0  2.0   0.5239
 3.50  7000. -5.0  2.0   0.0032
