 3.50  2600.  0.0  2.0   1.01716598   1.02801214   0.99435504   1.06356783   1.04463407   0.60432992   0.75954313   0.79861776   0.54836527   0.43418945   0.07615963   0.07429253   0.06553738   0.07087340   0.07429253   0.01251288   0.01202264   0.00109725   0.02888290   0.04090294
 4.00  2600.  0.0  2.0   1.03002354   1.03304896   0.96518067   1.07092320   1.06465316   0.64891714   0.80296074   0.91193362   0.58202710   0.45403560   0.05424601   0.05300393   0.04949729   0.04949729   0.05382851   0.01386634   0.01324313   0.00053386   0.03113141   0.03978728
 4.50  2600.  0.0  2.0   1.02534580   1.02309360   0.93463875   1.04832783   1.06670891   0.77326531   0.88616203   1.03989973   0.64445095   0.49515364   0.04021062   0.03874044   0.03931529   0.03931529   0.03931529   0.01911140   0.01217913   0.00113685   0.04888915   0.03061558
 5.00  2600.  0.0  2.0   1.00529570   0.99731240   0.90022733   1.02434705   1.03391129   0.95572328   0.98860602   1.12362143   0.69847626   0.55826916   0.02930375   0.02972528   0.02972528   0.02972528   0.03014781   0.01311685   0.00680384   0.00896556   0.04887003   0.03637534
 5.50  2600.  0.0  2.0   0.98799476   0.95850498   0.84733997   0.99961736   1.00350217   1.10219395   1.08982048   1.18470084   0.73139670   0.61321809   0.02144649   0.02302356   0.02302356   0.02333422   0.02333422   0.00066461   0.00029173   0.05545932   0.04456389   0.03604990
 6.00  2600.  0.0  2.0   0.97105257   0.91336759   0.80808331   0.98033112   0.97954244   1.08909532   1.16046753   1.17032465   0.74338831   0.65657667   0.01691141   0.01798072   0.01798072   0.01798072   0.01798072   0.00429282   0.03358946   0.10725959   0.03412851   0.03356603
 0.00  2700.  0.0  2.0   0.91935299   0.94336737   0.98916061   0.95648570   0.91942553   1.04413183   1.14500003   0.87802895   0.92290516   0.78782664   0.38955902   0.34202046   0.30559242   0.31945700   0.34202046   0.00926947   0.00535128   0.02204045   0.01912044   0.02179873
 0.50  2700.  0.0  2.0   0.91694703   0.95018143   0.98540348   0.93811083   0.91499512   1.12446602   1.21867477   0.91795968   0.98223171   0.79989615   0.30696090   0.27729957   0.24847822   0.26420530   0.27729957   0.01439904   0.00795581   0.00830136   0.00988308   0.01338007
 1.00  2700.  0.0  2.0   0.93411754   0.97516414   0.98243468   0.96381361   0.94014261   0.97715077   1.21784851   0.98702797   0.96737868   0.75795012   0.25063159   0.22699693   0.20038944   0.21570241   0.22699693   0.00269427   0.00221708   0.00204330   0.00375673   0.00767486
 1.50  2700.  0.0  2.0   0.99261222   0.95990514   1.00901004   0.94340958   0.92728460   0.90381102   1.34112064   0.86221533   1.00773671   0.80300729   0.18275906   0.16977173   0.14631959   0.16374859   0.17309288   0.00778702   0.00987686   0.00615876   0.00591635   0.00224526
 2.00  2700.  0.0  2.0   0.96246073   0.94456046   0.98086306   0.91913236   0.87380182   0.90841929   1.01200751   0.67435862   0.75575984   0.67085736   0.16829326   0.15424078   0.14135511   0.15012888   0.15866917   0.00148651   0.00838654   0.00536346   0.01010725   0.00482351
